id,followers_count,following_count,tweet_count,listed_count,time_to_now,has_profile_photo,protected,verified,name_length,label,spilt
u99943864,475150,425199,453531,754,4695,TRUE,FALSE,FALSE,16,bot,train
u998977009056444416,246,2,26,0,1628,TRUE,FALSE,FALSE,12,human,train
u9983602,76772,55414,121448,634,5478,TRUE,FALSE,FALSE,6,bot,train
u995937630,1631,1273,59018,10,3620,TRUE,FALSE,FALSE,6,human,train
u99566858,1049540,159,4074,2242,4697,TRUE,FALSE,TRUE,13,human,train
u994311271,828,649,21185,0,3620,TRUE,FALSE,FALSE,8,human,train
u994111987,210238,2126,73964,1001,3620,TRUE,FALSE,FALSE,19,bot,train
u991384984995991553,0,1,1,0,1649,TRUE,FALSE,FALSE,5,human,train
u982400697651093504,289,74,16,0,1674,TRUE,FALSE,FALSE,10,human,train
u978991024340131840,85,0,1,5,1683,TRUE,FALSE,FALSE,14,bot,train
u97893963,1075256,1251,35879,4333,4704,TRUE,FALSE,TRUE,15,human,train
u97713882,1945,4995,16590,38,4705,TRUE,FALSE,FALSE,13,human,train
u975139939,128940,2156,36407,2661,3629,TRUE,FALSE,TRUE,21,human,train
u973224960,30415,2487,542,37,3630,TRUE,FALSE,FALSE,10,bot,train
u972532340,1062,1420,19210,15,3631,TRUE,FALSE,FALSE,19,bot,train
u97104042,86154,33347,43741,272,4707,TRUE,FALSE,FALSE,15,human,train
u968714948,102786,13686,1349,103,3633,TRUE,FALSE,FALSE,14,bot,train
u968133364485185536,2617,0,1,3,1713,TRUE,FALSE,FALSE,16,human,train
u965314974548709376,232,1754,51461,1,1721,TRUE,FALSE,FALSE,18,bot,train
u96448406,1026770,3744,24237,2706,4710,TRUE,FALSE,TRUE,12,human,train
u963418992,119857,34,20210,79,3635,TRUE,FALSE,FALSE,12,human,train
u96322637,1292244,225,7496,683,4711,TRUE,FALSE,TRUE,16,human,train
u96198639,17218,616,205751,101,4712,TRUE,FALSE,FALSE,5,bot,train
u9609372,146204,1149,133744,1413,5493,TRUE,FALSE,TRUE,16,bot,train
u958880016,721,316,11605,5,3638,TRUE,FALSE,FALSE,2,human,train
u95883322,1965,1382,206227,56,4713,TRUE,FALSE,FALSE,5,human,train
u958092908,20080,0,3950,12,3638,TRUE,FALSE,FALSE,20,human,train
u955522961506750464,8,0,2,0,1748,TRUE,FALSE,FALSE,9,human,train
u95540269,75988,264,113333,342,4714,TRUE,FALSE,FALSE,17,bot,train
u95531927,1232,1073,31068,24,4714,TRUE,FALSE,FALSE,7,human,train
u953692489,88783,2034,29958,390,3640,TRUE,FALSE,FALSE,14,bot,train
u953231816810315777,119,359,2716,0,1754,TRUE,FALSE,FALSE,3,human,train
u952168021,869,1243,11123,1,3641,TRUE,FALSE,FALSE,8,human,train
u95064543,149878,1040,37556,2056,4717,TRUE,FALSE,TRUE,12,human,train
u950391445,993,1146,47540,2,3642,TRUE,FALSE,FALSE,11,bot,train
u95023423,14016258,1,172133,18537,4717,TRUE,FALSE,TRUE,9,bot,train
u948676610,604,216,38612,1,3643,TRUE,FALSE,FALSE,6,human,train
u948335156,86228,3,10445,105,3643,TRUE,FALSE,TRUE,17,human,train
u947217853,99546,98,22934,126,3643,TRUE,FALSE,FALSE,9,human,train
u94466609,1084204,5209,15471,271,4719,TRUE,FALSE,TRUE,7,human,train
u94429039,1434504,172,149583,4199,4720,TRUE,FALSE,TRUE,14,bot,train
u943073006,99661,67618,30789,90,3645,TRUE,FALSE,FALSE,19,bot,train
u93547054,1329,398,63518,84,4723,TRUE,FALSE,FALSE,5,bot,train
u93311525,2128517,116,109230,29725,4724,TRUE,FALSE,TRUE,6,bot,train
u932918070,1515,1042,33750,3,3650,TRUE,FALSE,FALSE,13,human,train
u931174645,1014927,970634,94230,832,3650,TRUE,FALSE,FALSE,10,bot,train
u92985467,114508,49820,7006,2010,4726,TRUE,FALSE,TRUE,3,bot,train
u927351564,73311,11,330339,251,3652,TRUE,FALSE,TRUE,12,bot,train
u927340061997314049,455,0,2,0,1825,TRUE,FALSE,FALSE,7,human,train
u9269372,140600,18399,90131,1657,5510,TRUE,FALSE,TRUE,13,human,train
u92686016,1441200,3955,101563,22653,4727,TRUE,FALSE,TRUE,5,bot,train
u92525602,891,509,96359,31,4728,TRUE,FALSE,FALSE,18,human,train
u924967777,840,248,89591,11,3653,TRUE,FALSE,FALSE,2,bot,train
u92393934,1342385,981,43481,570,4729,TRUE,FALSE,TRUE,20,human,train
u921999224,39664,214,22618,40,3655,TRUE,FALSE,TRUE,12,human,train
u92174767,1271036,152,371594,1872,4729,TRUE,FALSE,FALSE,14,bot,train
u921426764,206564,539,26869,640,3655,TRUE,FALSE,TRUE,8,bot,train
u921164568,4280,118,36786,69,3655,TRUE,FALSE,FALSE,3,human,train
u92074188,899,1541,10586,22,4730,TRUE,FALSE,FALSE,13,human,train
u920708302987722753,54,22,1,0,1844,TRUE,FALSE,FALSE,1,human,train
u920610398,150433,13950,4551,154,3655,TRUE,FALSE,FALSE,13,bot,train
u918372090,362642,18994,29763,546,3656,TRUE,FALSE,FALSE,10,human,train
u918346674,1088241,356,5146,2379,3656,TRUE,FALSE,FALSE,17,human,train
u91796121,285614,3673,87593,1860,4731,TRUE,FALSE,TRUE,19,human,train
u91508386,1043,830,73975,6,4732,TRUE,FALSE,FALSE,16,human,train
u913792196779708416,3,0,1,1,1863,TRUE,FALSE,FALSE,1,human,train
u91240835,109280,464,34738,926,4733,TRUE,FALSE,TRUE,6,human,train
u912113748,30040,69,534139,29,3659,TRUE,FALSE,FALSE,15,bot,train
u911951797622902784,2641,0,1,33,1868,TRUE,FALSE,FALSE,8,bot,train
u90997089,87200,1226,12397,229,4734,TRUE,FALSE,FALSE,16,human,train
u90921168,1117819,85,30060,1539,4735,TRUE,FALSE,TRUE,13,human,train
u907152121,96665,61265,127725,146,3661,TRUE,FALSE,FALSE,12,bot,train
u90635543,93752,2069,47535,1425,4736,TRUE,FALSE,TRUE,17,human,train
